,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
170,"7 rings","Ariana Grande",759813,https://open.spotify.com/track/6ocbgoVGwYJhOv1GgI9NsF
171,Golden,"Harry Styles",756849,https://open.spotify.com/track/45S5WTQEGOB1VHr1Q4FuPl
172,"Volta Bebê, Volta Neném","Dj Guuga",756319,https://open.spotify.com/track/4wQUopWk9Ed7Ng5qpKN5qd
173,You,Regard,754064,https://open.spotify.com/track/2cc8Sw1OnCuA5bV8nqWqpE
174,"Just the Way You Are","Bruno Mars",753040,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ
175,"GIRL LIKE ME","Black Eyed Peas",750561,https://open.spotify.com/track/2vBET2pmrQqafaS6zIaYta
176,"Every Breath You Take","The Police",749545,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
177,"The Real Slim Shady",Eminem,748332,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
178,"Do I Wanna Know?","Arctic Monkeys",745729,https://open.spotify.com/track/3rq5w4bQGigXOfdN30ATJt
179,"The Box","Roddy Ricch",745335,https://open.spotify.com/track/0nbXyq5TXYPCO7pr3N8S4I
180,Anyone,"Justin Bieber",744322,https://open.spotify.com/track/2WnAKZefdRHxtBEkRjFOHC
181,CORALINE,Måneskin,742333,https://open.spotify.com/track/7HMz8o0m7ASQ3ImFPfhWTY
182,"HIGHEST IN THE ROOM","Travis Scott",740339,https://open.spotify.com/track/3eekarcy7kvN4yt5ZFzltW
183,"Savage Love (Laxed - Siren Beat)","Jawsh 685",739320,https://open.spotify.com/track/1xQ6trAsedVPCdbtDAmk0c
184,"Mr. Brightside","The Killers",735120,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
185,"Rain On Me (with Ariana Grande)","Lady Gaga",735090,https://open.spotify.com/track/7ju97lgwC2rKQ6wwsf9no9
186,"No Role Modelz","J. Cole",733502,https://open.spotify.com/track/62vpWI1CHwFy7tMIcSStl8
187,"Another One Bites The Dust - Remastered 2011",Queen,732690,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
188,"Laugh Now Cry Later (feat. Lil Durk)",Drake,731565,https://open.spotify.com/track/2SAqBLGA283SUiwJ3xOUVI
189,"The Hills","The Weeknd",730131,https://open.spotify.com/track/7fBv7CLKzipRk6EC6TWHOB
190,"Jocelyn Flores",XXXTENTACION,729199,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
191,"Slumber Party (feat. Princess Nokia)",Ashnikko,727101,https://open.spotify.com/track/11ZulcYY4lowvcQm4oe3VJ
192,Closer,"The Chainsmokers",725746,https://open.spotify.com/track/7BKLCZ1jbUBVqRi2FVlTVw
193,Falling,"Harry Styles",725501,https://open.spotify.com/track/1ZMiCix7XSAbfAJlEZWMCp
194,"In the End","Linkin Park",723925,https://open.spotify.com/track/60a0Rd6pjrkxjPbaKzXjfq
195,"Higher Power",Coldplay,721848,https://open.spotify.com/track/0939D7aT18uBDS2MTjWzct
196,Dior,"Pop Smoke",721039,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
197,"Something Just Like This","The Chainsmokers",720426,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW
198,"Stereo Hearts (feat. Adam Levine)","Gym Class Heroes",719558,https://open.spotify.com/track/0qOnSQQF0yzuPWsXrQ9paz
199,"Can't Hold Us - feat. Ray Dalton","Macklemore & Ryan Lewis",718636,https://open.spotify.com/track/3bidbhpOYeV4knp8AIu8Xn
200,"Godzilla (feat. Juice WRLD)",Eminem,717573,https://open.spotify.com/track/7FIWs0pqAYbP91WWM0vlTQ
